nb	nn	category (-s=0, sine=1,preposisjon=2,sammenkrivning=3, omskriving=4)
politiets nettsider	nettsidene til politiet	2
Forbrukerrådets tester	testane til Forbrukarrådet	2
Difis kriterier	Difis kriterium	0
OSSEs tiltak	OSSE-tiltaka	3
EUEBs initiativ	EUEBs initiativ	0
OSSEs område	OSSE-området	3
rapporteringsperiodens transaksjoner	transaksjonane i rapporteringsperioden	2
Den europeiske unions virkemåte	verkemåten til Den europeiske unionen	2
barnas tanker	tankane til barna	2
Det faste råds anbefaling	tilrådinga frå Det faste rådet	2
Miljøverndepartementets budsjettforslag	budsjettforslaget frå Miljøverndepartementet	2
Den norske dataforenings brukervennlighetspris	brukarvennlegprisen til Den norske dataforeining	2
før fristens utløp	før fristen går ut	4
innen fristens utløp	innan fristen	4
IMOs forslag	IMOs forslag	0
departementets forslag	departementsforslaget	3
FNs konferanse	FN-konferansen	3
Justis- og beredskapsdepartementets lovavdeling	lovavdelinga i Justis- og beredskapsdepartementet	2
kommuneplanens arealdel	arealdelen av kommuneplanen	4
barns mediebruk	barns mediebruk	0
europeiske lands synspunkter	europeiske lands synspunkt	0
Verdensbankens utviklingsfond	Verdsbankens utviklingsfond	0
arbeidsgivers innrapportering	arbeidsgivars innrapportering	0
Verdensbankens og Det internasjonale valutafondets (IMF) utviklingskomité	utviklingskomiteen i Verdsbanken og Det internasjonale valutafondet (IMF)	2
Verdens helseorganisasjon WHO	Verdshelseorganisasjonen (WHO)	3
FNs organisasjon for utdanning, vitenskap og kultur	FNs organisasjon for utdanning, vitskap og kultur	0
FNs organisasjon for ernæring og landbruk	FNs organisasjon for ernæring og landbruk	0
Kontinentalsokkelkommisjonens arbeid	arbeidet i Kontinentalsokkelkommisjonen	2
Sikkerhetsrådets resolusjoner	resolusjonane frå Tryggingsrådet	2
EUs felles utenriks- og sikkerhetspolitiske samarbeid (ESDP)	tryggings- og forsvarssamarbeidet i EU (ESDP)	4
FNs konferanse	FN-konferansen	3
FNs miljøprogram (UNEP)	FNs miljøprogram (UNEP)	0
rådets arbeidsmetoder	arbeidsmetodane i rådet	2
politiets nettsider	nettsidene til politiet	2
OSSEs toppmøte	OSSE-toppmøtet	3
høgskolens læringsplattform	læringsplattforma til høgskulen	2
de nordiske lands politimyndigheter	politiet i dei nordiske landa	4
barns og/eller unges interesser	interessene til barn og/eller unge	2
plan- og bygningslovens bestemmelser	føresegnene i plan- og bygningslova	2
barn og unges interesser	interessene til barn og unge	2
FNs innsats	FN-innsatsen	3
OSSE og FNs kontor	OSSE og FN-kontoret	3
FNs konvensjon	FNs konvensjon	0
rettens medvirkning	medverknad frå retten	2
de øvrige regionale helseforetakenes journalløsninger	journalløysingane til dei andre regionale helseføretaka	2
departementets hjemmeside	heimesida til departementet	2
avtalens varighet	kor lenge avtalen varer	4
kommuneplanens arealdel	arealdelen i kommuneplanen	2
andres rettigheter	andres rettar	0
FNs høynivåpanel for	FNs høgnivåpanel for	0
etter lagmannsrettens syn	slik lagmannsretten ser det	4
NPTs artikkel III.2	artikkel III.2 i NPT	2
EUs nye byrå	det nye EU-byrået	4
EUs menneskerettsbyrå	EUs menneskerettsbyrå	0
NPEs drift	drifta i NPE	2
sin egen datters nakne rumpe	den nakne rumpa til si eiga dotter	4
styrets konklusjon	konklusjonen til styret	2
kommunens plikt	plikta til kommunen	2
kommunens planlegging	planlegginga i kommunen	2
Helsedirektoratets oppdrag	oppdraget til Helsedirektoratet	2
Helsedirektoratets brev	Helsedirektoratets brev	0
Finansdepartementets høringsbrev	Finansdepartementets høyringsbrev	0
departementets adgang til å	høvet departementet har til å	4
Stortingets behandling	stortingsbehandlinga	3
Fylkesmannens vedtak	fylkesmannsvedtaket	3
stemmeseddelens eller endringenes gyldighet	om stemmesetelen eller endringane er gyldige	4
kommuneplanens arealdel	arealdelen i kommuneplanen	2
De Forente Nasjoners generalforsamling	FNs hovudforsamling	4
